session,username,application,activity,event,time,created_at,updated_at,event_value,name,switch,x,type,board,source,dest,y,currentFlowing,groupname
d8452ed7-1d97-f299-0768-0cfb9eed6012,Lion,Teaching Teamwork,adder,Remove wire,1487266063.167,0.0,0.0,"","","","","",0,"{""component""=>""lc1"", ""pin""=>{""index""=>0, ""name""=>""1""}, ""type""=>""pin"", ""board""=>0}","{""connector""=>""input"", ""hole""=>{""index""=>2, ""color""=>""#555""}, ""type""=>""hole"", ""board""=>0}","",true,Animals
d8452ed7-1d97-f299-0768-0cfb9eed6012,Lion,Teaching Teamwork,adder,Move Logic Chip,1487266065.3859992,0.0,0.0,"",lc2,"",480.20000000000005,7411,0,"","",288.12,true,Animals
d8452ed7-1d97-f299-0768-0cfb9eed6012,Lion,Teaching Teamwork,adder,Move Logic Chip,1487266067.2819998,0.0,0.0,"",lc1,"",150.92000000000002,7408,0,"","",96.04,true,Animals
d8452ed7-1d97-f299-0768-0cfb9eed6012,Lion,Teaching Teamwork,adder,Add wire,1487266071.1859999,0.0,0.0,"","","","","",0,"{""component""=>""lc1"", ""pin""=>{""index""=>3, ""name""=>""4""}, ""type""=>""pin"", ""board""=>0}","{""connector""=>""input"", ""hole""=>{""index""=>2, ""color""=>""#555""}, ""type""=>""hole"", ""board""=>0}","",true,Animals
086f8831-cac6-08a4-351f-e2747fcae696,Tiger,Teaching Teamwork,adder,Add wire,1487266092.8499992,0.0,0.0,"","","","","",1,"{""component""=>""lc1"", ""pin""=>{""index""=>11, ""name""=>""12""}, ""type""=>""pin"", ""board""=>1}","{""component""=>""lc0"", ""pin""=>{""index""=>8, ""name""=>""9""}, ""type""=>""pin"", ""board""=>1}","",true,Animals
d8452ed7-1d97-f299-0768-0cfb9eed6012,Lion,Teaching Teamwork,adder,Remove wire,1487266095.184,0.0,0.0,"","","","","",0,"{""component""=>""lc1"", ""pin""=>{""index""=>9, ""name""=>""10""}, ""type""=>""pin"", ""board""=>0}","{""connector""=>""input"", ""hole""=>{""index""=>1, ""color""=>""#555""}, ""type""=>""hole"", ""board""=>0}","",true,Animals
d8452ed7-1d97-f299-0768-0cfb9eed6012,Lion,Teaching Teamwork,adder,Remove wire,1487266100.303999,0.0,0.0,"","","","","",0,"{""component""=>""lc1"", ""pin""=>{""index""=>3, ""name""=>""4""}, ""type""=>""pin"", ""board""=>0}","{""connector""=>""input"", ""hole""=>{""index""=>2, ""color""=>""#555""}, ""type""=>""hole"", ""board""=>0}","",true,Animals
d8452ed7-1d97-f299-0768-0cfb9eed6012,Lion,Teaching Teamwork,adder,Remove wire,1487266102.078,0.0,0.0,"","","","","",0,"{""component""=>""lc1"", ""pin""=>{""index""=>12, ""name""=>""13""}, ""type""=>""pin"", ""board""=>0}","{""connector""=>""input"", ""hole""=>{""index""=>0, ""color""=>""#555""}, ""type""=>""hole"", ""board""=>0}","",true,Animals
d8452ed7-1d97-f299-0768-0cfb9eed6012,Lion,Teaching Teamwork,adder,Move Logic Chip,1487266103.503999,0.0,0.0,"",lc1,"",411.6,7408,0,"","",109.76,true,Animals
d8452ed7-1d97-f299-0768-0cfb9eed6012,Lion,Teaching Teamwork,adder,Move Logic Chip,1487266105.151,0.0,0.0,"",lc0,"",137.20000000000002,7404,0,"","",82.32000000000001,true,Animals
d8452ed7-1d97-f299-0768-0cfb9eed6012,Lion,Teaching Teamwork,adder,Add wire,1487266116.1369998,0.0,0.0,"","","","","",0,"{""component""=>""lc0"", ""pin""=>{""index""=>12, ""name""=>""13""}, ""type""=>""pin"", ""board""=>0}","{""connector""=>""input"", ""hole""=>{""index""=>0, ""color""=>""#555""}, ""type""=>""hole"", ""board""=>0}","",true,Animals
d8452ed7-1d97-f299-0768-0cfb9eed6012,Lion,Teaching Teamwork,adder,Add wire,1487266120.207,0.0,0.0,"","","","","",0,"{""component""=>""lc0"", ""pin""=>{""index""=>10, ""name""=>""11""}, ""type""=>""pin"", ""board""=>0}","{""connector""=>""input"", ""hole""=>{""index""=>1, ""color""=>""#555""}, ""type""=>""hole"", ""board""=>0}","",true,Animals
d8452ed7-1d97-f299-0768-0cfb9eed6012,Lion,Teaching Teamwork,adder,Toggled Switch,1487266122.075,0.0,0.0,3,"",1,"","",0,"","","",true,Animals
